codigo,descripcion,valor,tipo
890208,CONSULTA DE PRIMERA VEZ POR PSICOLOGIA,5515,consulta
890308,CONSULTA DE CONTROL O DE SEGUIMIENTO POR PSICOLOGIA,5515,consulta
890204,CONSULTA DE PRIMERA VEZ POR ODONTOLOGIA ESPECIALIZADA,12510,consulta
890304,CONSULTA DE CONTROL O SEGUIMIENTO POR ODONTOLOGIA ESPECIALIZADA,12510,consulta
890203,CONSULTA DE PRIMERA VEZ POR ODONTOLOGIA GENERAL,8755,consulta
890303,CONSULTA DE CONTROL O DE SEGUIMIENTO POR ODONTOLOGIA GENERAL,8755,consulta
890206,CONSULTA DE PRIMERA VEZ POR NUTRICION Y DIETETICA (404),5480,consulta
890306,CONSULTA DE CONTROL O DE SEGUIMIENTO POR NUTRICION Y DIETETICA (404),5480,consulta
890209,CONSULTA DE PRIMERA VEZ POR TRABAJO SOCIAL (306),5580,consulta
890309,CONSULTA DE CONTROL O DE SEGUIMIENTO POR TRABAJO SOCIAL (306),5580,consulta
890201,CONSULTA PRIMERA VEZ MEDICINA GENERAL,8755,consulta
890202,CONSULTA PRIMERA VEZ MEDICINA ESPECIALIZADA (305),12510,consulta
890301,CONSULTA DE CONTROL O SEGUIMIENTO POR MEDICINA GENERAL,8755,consulta
890302,CONSULTA DE CONTROL O SEGUIMIENTO POR MEDICINA ESPECIALIZADA,12510,consulta
890305,CONSULTA DE CONTROL O DE SEGUIMIENTO POR ENFERMERIA,4105,consulta
890201,CONSULTA DE PRIMERA VEZ POR MEDICINA GENERAL,8755,consulta
890201,CONSULTA DE PRIMERA VEZ POR MEDICINA GENERAL (314),8755,consulta
890203,CONSULTA DE PRIMERA VEZ POR ODONTOLOGIA GENERAL (316),8755,consulta
890301,CONSULTA CONTROL POR MEDICINA GENERAL (127),8755,consulta
890201,CONSULTA DE PRIMERA VEZ POR MEDICINA GENERAL (413),8755,consulta
890301,CONSULTA DE CONTROL O SEGUIMIENTO POR MEDICINA GENERAL (413),8755,consulta
890201,CONSULTA DE PRIMERA VEZ POR MEDICINA GENERAL (414),8755,consulta
890301,CONSULTA DE CONTROL O SEGUIMIENTO POR MEDICINA GENERAL (414),8755,consulta
